,Picture,Title,Venue,Time,Price
0,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01vOGDId2GdSM6235jy_!!0-item_pic.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loaded"" src=""//img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01vOGDId2GdSM6235jy_!!0-item_pic.jpg_q60.jpg_.webp""/>",【上海】 百老汇音乐剧《摇滚年代》中文版,上海 | FANCL艺术中心 艺海剧院大剧场,2021.12.22-12.26,180-680             元
1,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN013tMAN22GdSLxZzAHH_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loaded"" src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN013tMAN22GdSLxZzAHH_!!2251059038.png_q60.jpg_.webp""/>",【上海】 开心麻花首部主题体验式喜剧《偷心晚宴》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.11.10-11.21,280-380             元
2,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01fwd8m02GdSLklXCA1_!!0-item_pic.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loaded"" src=""//img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01fwd8m02GdSLklXCA1_!!0-item_pic.jpg_q60.jpg_.webp""/>",【上海】 舞台剧《繁花》第二季,上海 | 美琪大戏院,2021.11.28-12.05,280-1080             元
3,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01AetS0V2GdSLnr09a2_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 开心麻花招笑进宝神剧《财神爷驾到》,上海 | 虹桥艺术中心,2021.11.11-11.28,88-1188             元
4,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01DYdSr42GdSLdv9maq_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 万茜主演舞台剧《倾城之恋》,上海 | 上海大剧院-大剧场,2021.10.27-10.31,180-1080             元
5,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01eJfse32GdSLpi6XEt_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 【第二轮开票】音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.11.26-12.19,80-1080             元
6,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01Z5B0Bm2GdSLoNsh52_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 【呱唧戏剧】音乐剧《再见·Echo》,上海 | 上海共舞台,2021.11.25-12.05,100-580             元
7,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01wmhplw2GdSLpcWQHp_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 音乐剧《悟空》,上海 | 上剧场,2021.12.17-12.19,180-580             元
8,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01CuuDM62GdSLtOOEmW_!!2251059038.jpg_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 赖声川经典《暗恋桃花源》专属版,上海 | 上剧场,2022.02.17-02.27,100-800             元
9,"<img alt=""项目图片"" data-src=""//img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01BUQbyA2GdSLUyTob6_!!2251059038.png_q60.jpg_.webp"" data-v-0a2cd810="""" lazy=""loading"" src=""//img.alicdn.com/tfs/TB1S_dkRQvoK1RjSZFNXXcxMVXa-270-364.png""/>",【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.10.17-11.30,199-399             元
